I_D,TSEVENT_ID,YEAR,LATITUDE,LONGITUDE
6702,2378,1873,8.96,-79.533
6703,2378,1873,9.359,-79.901
16202,1053,1873,-23.65,-70.404
1146,1055,1873,42.737,-124.497
1144,1049,1873,-5.5,146
1147,1057,1874,15.567,-61.45
1148,1057,1874,18.333,-64.917
7646,2607,1874,58.64,-137.57
19497,5284,1874,21.933333,88.85
10784,1061,1875,19.05,-104.333
25354,1062,1875,-20.9158,167.2638
1153,1062,1875,-21.096,167.41
1154,1062,1875,-20.2,169.82
25346,1063,1875,-18.7,169.1
7960,2414,1875,37.012,-122.192
1151,1059,1875,-5.85,146.75
1150,1059,1875,-1.53,145.06
16216,1064,1876,-3.38,127.1
29156,5536,1876,26.217,127.667
1156,1068,1877,,
1157,1068,1877,19.48,-155.92
1158,1069,1877,33.741,-118.104
1159,1069,1877,35.433,-120.883
1160,1072,1877,,
1199,1075,1877,19.73,-155.07
1201,1075,1877,21.3,-157.867
1208,1075,1877,19.723,-155.078
1236,1075,1877,-44.392,171.254
1178,1075,1877,-26.38,-70.67
1228,1075,1877,-45.1,170.97
1245,1075,1877,-12.05,-77.15
1265,1075,1877,36.97,-122.02
28123,1075,1877,-19.83,-70.16
28124,1075,1877,33.75,133.5
28122,1075,1877,-36.833,-73.05
16403,1075,1877,-41.75,171.567
17441,1075,1877,,
1251,1075,1877,-17.639,-71.338
1252,1075,1877,-17.03,-72.1
1253,1075,1877,-17.017,-72
1254,1075,1877,-13.71,-76.22
1255,1075,1877,-8.23,-78.92
1256,1075,1877,-11.617,-77.25
16430,1075,1877,-7.401,-79.571
1257,1075,1877,-9.22,-78.55
